# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 231K of event 'cycles'
# Event count (approx.): 247441296710
#
# Overhead  Command  Shared Object      Symbol                                            
# ........  .......  .................  ..................................................
#
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995f64
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e4f05
     0.00%  nuXmv    [kernel.kallsyms]  [k] __common_interrupt
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c88179
     0.00%  nuXmv    nuXmv              [.] 0x000000000086fbc3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f6668
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0150
     0.00%  nuXmv    [kernel.kallsyms]  [k] page_remove_rmap
     0.00%  nuXmv    nuXmv              [.] 0x0000000000954cbd
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c6417
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7bdd
     0.00%  nuXmv    nuXmv              [.] 0x000000000098bd2b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000933819
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7d6c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7d84
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cbd47
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e41e0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7dc5
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7d64
     0.00%  nuXmv    nuXmv              [.] 0x00000000009caaef
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca766
     0.00%  nuXmv    nuXmv              [.] 0x000000000087cd53
     0.00%  nuXmv    nuXmv              [.] 0x000000000090a266
     0.00%  nuXmv    nuXmv              [.] 0x000000000086a2d0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000895020
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7ae2
     0.00%  nuXmv    [kernel.kallsyms]  [k] retire_playback_urb
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8562
     0.00%  nuXmv    nuXmv              [.] 0x0000000000949b33
     0.00%  nuXmv    nuXmv              [.] 0x0000000000932c52
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca77d3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d9a46
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e4edb
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5f4e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ce696e
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ea5f6
     0.00%  nuXmv    nuXmv              [.] 0x000000000088dfa7
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed39
     0.00%  nuXmv    nuXmv              [.] 0x000000000095292b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cbaf0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9ce3
     0.00%  nuXmv    nuXmv              [.] 0x000000000090f6c0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cecc34
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7e5d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f3bb6
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca784
     0.00%  nuXmv    nuXmv              [.] 0x0000000000932e7f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d41112
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aefa0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df70f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ed42c
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ae6e0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0151
     0.00%  nuXmv    nuXmv              [.] 0x0000000000caad6c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca20b
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f64b0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c845c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc061
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e3e34
     0.00%  nuXmv    [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f20fb
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc227
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aef07
     0.00%  nuXmv    nuXmv              [.] 0x00000000008abf28
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cc8ff
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9bc2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e976a
     0.00%  nuXmv    nuXmv              [.] 0x0000000000087189
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc068
     0.00%  nuXmv    [kernel.kallsyms]  [k] uvm_parent_gpu_get_by_uuid_locked
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca855
     0.00%  nuXmv    nuXmv              [.] 0x000000000087e69a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d847b
     0.00%  nuXmv    nuXmv              [.] 0x000000000095e843
     0.00%  nuXmv    nuXmv              [.] 0x000000000089f356
     0.00%  nuXmv    [kernel.kallsyms]  [k] _nv029415rm
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df5cd
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3ab8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9b68e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ea54b
     0.00%  nuXmv    nuXmv              [.] 0x00000000008eac4d
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e5bbc
     0.00%  nuXmv    nuXmv              [.] 0x00000000009cab13
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df592
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d41204
     0.00%  nuXmv    nuXmv              [.] 0x00000000001a0ff9
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963def
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c65d0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5f30
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8842
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca782c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca72e8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000932c3a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009388fa
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a9e78
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f215f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5ef4
     0.00%  nuXmv    [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c9a93
     0.00%  nuXmv    nuXmv              [.] 0x000000000019fe36
     0.00%  nuXmv    [kernel.kallsyms]  [k] free_unref_page_list
     0.00%  nuXmv    [kernel.kallsyms]  [k] free_unref_page_prepare.part.0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d83ef
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f52f6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0038
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7ad3
     0.00%  nuXmv    nuXmv              [.] 0x0000000000956296
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d83f4
     0.00%  nuXmv    [kernel.kallsyms]  [k] free_unref_page_commit
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d867b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d86b8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7d60
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8256
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f3b56
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee18a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d82d9
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d86d3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5901
     0.00%  nuXmv    [kernel.kallsyms]  [k] prep_new_page
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efbd6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e59f0
     0.00%  nuXmv    nuXmv              [.] 0x000000000094c508
     0.00%  nuXmv    nuXmv              [.] 0x000000000019fc57
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e01d0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5fa1
     0.00%  nuXmv    [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  nuXmv    nuXmv              [.] 0x000000000087858d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e246
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a58e0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8111
     0.00%  nuXmv    nuXmv              [.] 0x00000000008dfd6d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5fe4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1e9e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963ec4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca8098
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f517b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3fee0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c8947
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab526
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab257
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab27d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963ea7
     0.00%  nuXmv    nuXmv              [.] 0x00000000008dff38
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5051
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d83d0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f36f9
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a8ab
     0.00%  nuXmv    nuXmv              [.] 0x000000000090f6f2
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1ec9
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f22e2
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8b89
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a8bdd
     0.00%  nuXmv    nuXmv              [.] 0x000000000099624a
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995de3
     0.00%  nuXmv    [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fc714
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c88cb
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca8101
     0.00%  nuXmv    nuXmv              [.] 0x000000000017cdd7
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab4ff
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0160
     0.00%  nuXmv    nuXmv              [.] 0x00000000009632ef
     0.00%  nuXmv    nuXmv              [.] 0x0000000000955de9
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cdb570
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df4c8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3af6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f476c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d83bb
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df62d
     0.00%  nuXmv    nuXmv              [.] 0x000000000094ad9b
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee56a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d86bc
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efc02
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2df3
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d82b1
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0064
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d823b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000087ab6
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa11a
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbb84
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995ff3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efbf9
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee10d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca8089
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f64e6
     0.00%  nuXmv    nuXmv              [.] 0x000000000089cbc0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df7d3
     0.00%  nuXmv    [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df6cc
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d80e9
     0.00%  nuXmv    [kernel.kallsyms]  [k] vm_normal_page
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ea54f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df76f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ec333
     0.00%  nuXmv    nuXmv              [.] 0x0000000000996074
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca8eb
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5910
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a67ed
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efc58
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a9bf
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8ba3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b23b2
     0.00%  nuXmv    nuXmv              [.] 0x00000000001a0faf
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5f33
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5754
     0.00%  nuXmv    nuXmv              [.] 0x000000000095ed82
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b29f0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e5c7
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e016e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58eb
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca2d40
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d85c8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c78e5
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8126
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a5e1
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3b49e
     0.00%  nuXmv    [kernel.kallsyms]  [k] get_task_policy.part.0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f0e35
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca809c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d411ae
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e02f7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8847
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d82ab
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7997
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5c76
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca79b2
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e6056
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9e77b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963f33
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cec162
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a3570
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e8450
     0.00%  nuXmv    nuXmv              [.] 0x0000000000087e3e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a377e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000941ca0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e20e3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f3b5b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7da4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f591b
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca8b7
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fbb70
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d1e1f9
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a8d40
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ecac0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d87c8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e8996
     0.00%  nuXmv    [kernel.kallsyms]  [k] intel_tfa_pmu_enable_all
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d1e534
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e13b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca72cc
     0.00%  nuXmv    nuXmv              [.] 0x00000000000ed780
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa179
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d831d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d1e62e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e210
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0027
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa125
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca7e2
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f206f
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cda8a0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c7312
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cdb54c
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ec562
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7a75
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e76da
     0.00%  nuXmv    [kernel.kallsyms]  [k] queue_request_and_unlock
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dd268
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e51ce
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cecc1d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2139
     0.00%  nuXmv    nuXmv              [.] 0x0000000000937c83
     0.00%  nuXmv    nuXmv              [.] 0x0000000000910816
     0.00%  nuXmv    nuXmv              [.] 0x000000000087d940
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fb85a
     0.00%  nuXmv    nuXmv              [.] 0x00000000008785ae
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca85c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995dc5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5ac3
     0.00%  nuXmv    nuXmv              [.] 0x000000000099602d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab527
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8321
     0.00%  nuXmv    nuXmv              [.] 0x0000000000981179
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e567e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab3ab
     0.00%  nuXmv    nuXmv              [.] 0x00000000009fc794
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d80ae
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efba0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a5fa1
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a3605
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ec56c
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dda70
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963ef2
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e07c
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f0e32
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa7b9
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f4c20
     0.00%  nuXmv    [kernel.kallsyms]  [k] default_wake_function
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d85c3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f58d8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000981182
     0.00%  nuXmv    nuXmv              [.] 0x00000000008aa106
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab232
     0.00%  nuXmv    nuXmv              [.] 0x0000000000981189
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f3b6a
     0.00%  nuXmv    nuXmv              [.] 0x000000000094ae53
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d81c5
     0.00%  nuXmv    nuXmv              [.] 0x0000000000878620
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f3ec0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995dc1
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef552
     0.00%  nuXmv    nuXmv              [.] 0x000000000090f6bf
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef557
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ddaee
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dda97
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e7f87
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3afe
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ed970
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a5911
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995f34
     0.00%  nuXmv    [kernel.kallsyms]  [k] __mod_memcg_state
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c99e7
     0.00%  nuXmv    nuXmv              [.] 0x000000000099355b
     0.00%  nuXmv    nuXmv              [.] 0x0000000000368a45
     0.00%  nuXmv    nuXmv              [.] 0x000000000095f6e7
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5170
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a6708
     0.00%  nuXmv    nuXmv              [.] 0x00000000009561b4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a58ad
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ddac5
     0.00%  nuXmv    nuXmv              [.] 0x0000000000087180
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b2b7e
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e757
     0.00%  nuXmv    nuXmv              [.] 0x000000000090ec49
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f5157
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca752f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ec4b8
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dd613
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cb7ab4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cb7aba
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c85f55
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b3ad0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e88fd
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca274
     0.00%  nuXmv    nuXmv              [.] 0x000000000087e757
     0.00%  nuXmv    [kernel.kallsyms]  [k] copy_to_urb.isra.0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f664e
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e97be
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca780d
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca3b5b
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f2dea
     0.00%  nuXmv    nuXmv              [.] 0x000000000095eda4
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a5ebf
     0.00%  nuXmv    nuXmv              [.] 0x00000000008efb93
     0.00%  nuXmv    nuXmv              [.] 0x00000000008edfcd
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e7f97
     0.00%  nuXmv    nuXmv              [.] 0x000000000019fe69
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ab50d
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee235
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d3e0ec
     0.00%  nuXmv    nuXmv              [.] 0x00000000001a17e3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a9ec0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009812f3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ea570
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ee530
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c794f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009549ce
     0.00%  nuXmv    nuXmv              [.] 0x00000000009d8798
     0.00%  nuXmv    nuXmv              [.] 0x000000000090e542
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9de63
     0.00%  nuXmv    [kernel.kallsyms]  [k] native_smp_send_reschedule
     0.00%  nuXmv    nuXmv              [.] 0x0000000000892c05
     0.00%  nuXmv    [kernel.kallsyms]  [k] set_task_cpu
     0.00%  nuXmv    nuXmv              [.] 0x00000000009c99b6
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995e25
     0.00%  nuXmv    nuXmv              [.] 0x000000000089eac3
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ef677
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cb7b08
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7e88
     0.00%  nuXmv    nuXmv              [.] 0x00000000009dc1c9
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca7845
     0.00%  nuXmv    nuXmv              [.] 0x000000000019fe7c
     0.00%  nuXmv    nuXmv              [.] 0x0000000000981110
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f1e90
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e032f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e0250
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995dc0
     0.00%  nuXmv    nuXmv              [.] 0x00000000009ca7f8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963ec6
     0.00%  nuXmv    nuXmv              [.] 0x0000000000935117
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d41293
     0.00%  nuXmv    [kernel.kallsyms]  [k] set_next_task_idle
     0.00%  nuXmv    nuXmv              [.] 0x00000000008ecb29
     0.00%  nuXmv    nuXmv              [.] 0x0000000000954941
     0.00%  nuXmv    nuXmv              [.] 0x00000000008f6670
     0.00%  nuXmv    nuXmv              [.] 0x00000000008df950
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca73c5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5a01
     0.00%  nuXmv    [kernel.kallsyms]  [k] fsnotify_destroy_event.part.0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000963f2f
     0.00%  nuXmv    nuXmv              [.] 0x00000000008b2b8e
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e59bf
     0.00%  nuXmv    nuXmv              [.] 0x000000000093290f
     0.00%  nuXmv    nuXmv              [.] 0x00000000009e56b9
     0.00%  nuXmv    nuXmv              [.] 0x000000000019f650
     0.00%  nuXmv    nuXmv              [.] 0x0000000000995cf4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000c9d573
     0.00%  nuXmv    [kernel.kallsyms]  [k] ipt_do_table
     0.00%  nuXmv    nuXmv              [.] 0x000000000095a5b8
     0.00%  nuXmv    nuXmv              [.] 0x0000000000086b94
     0.00%  nuXmv    nuXmv              [.] 0x0000000000946c4d
     0.00%  nuXmv    nuXmv              [.] 0x000000000095b6dc
     0.00%  nuXmv    nuXmv              [.] 0x0000000000cec193
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e5959
     0.00%  nuXmv    nuXmv              [.] 0x000000000095d6b5
     0.00%  nuXmv    nuXmv              [.] 0x00000000008a8b80
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca0aa0
     0.00%  nuXmv    nuXmv              [.] 0x00000000008e58c0
     0.00%  nuXmv    nuXmv              [.] 0x0000000000d1e6a4
     0.00%  nuXmv    nuXmv              [.] 0x0000000000ca0abf
